"","Sex","Financial_Risk_Willingness","Income_from_Wages","Owns_Treasury_Bond_Funds","Owns_Stocks","Owns_Stock_Funds","Owns_Combination_Funds","TMV_Treasury_Bond_Funds","TMV_Stocks","TMV_Stock_Funds","TMV_Combination_Funds","TMV_Investments","Percent_Treasury_Bond_Funds","Percent_Combination_Funds","Percent_Stock_Funds","Percent_Stocks","Income_Bracket","Risk_Aversion"
"78","Male",-1,0,"No","Yes","No","No",0,17000,0,0,17000,0,0,0,100,"$0 - $9,274","Very Risk Averse"
"79","Male",-1,0,"No","Yes","No","No",0,17000,0,0,17000,0,0,0,100,"$0 - $9,274","Very Risk Averse"
"80","Male",-1,0,"No","Yes","No","No",0,17000,0,0,17000,0,0,0,100,"$0 - $9,274","Very Risk Averse"
"81","Male",10,0,"No","Yes","No","No",0,18000000,0,0,18000000,0,0,0,100,"$0 - $9,274","Very Risk Tolerant"
"82","Male",10,0,"No","Yes","No","No",0,18000000,0,0,18000000,0,0,0,100,"$0 - $9,274","Very Risk Tolerant"
"83","Male",10,0,"No","Yes","No","No",0,18000000,0,0,18000000,0,0,0,100,"$0 - $9,274","Very Risk Tolerant"
"84","Male",10,0,"No","Yes","No","No",0,18000000,0,0,18000000,0,0,0,100,"$0 - $9,274","Very Risk Tolerant"
"85","Male",10,0,"No","Yes","No","No",0,18000000,0,0,18000000,0,0,0,100,"$0 - $9,274","Very Risk Tolerant"
"86","Female",7,125000,"No","Yes","No","No",0,30000,0,0,30000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"87","Female",7,125000,"No","Yes","No","No",0,30000,0,0,30000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"88","Female",7,125000,"No","Yes","No","No",0,30000,0,0,30000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"89","Female",7,125000,"No","Yes","No","No",0,30000,0,0,30000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"90","Female",7,125000,"No","Yes","No","No",0,30000,0,0,30000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"91","Male",2,0,"No","Yes","Yes","No",0,10000000,1600000,0,11600000,0,0,13.7931034482759,86.2068965517241,"$0 - $9,274","Very Risk Averse"
"92","Male",2,0,"No","Yes","Yes","No",0,10000000,4010000,0,14010000,0,0,28.6224125624554,71.3775874375446,"$0 - $9,274","Very Risk Averse"
"93","Male",2,0,"No","Yes","Yes","No",0,10000000,2940000,0,12940000,0,0,22.7202472952087,77.2797527047913,"$0 - $9,274","Very Risk Averse"
"94","Male",2,0,"No","Yes","Yes","No",0,10000000,1400000,0,11400000,0,0,12.280701754386,87.719298245614,"$0 - $9,274","Very Risk Averse"
"95","Male",2,0,"No","Yes","Yes","No",0,10000000,2690000,0,12690000,0,0,21.1977935382191,78.8022064617809,"$0 - $9,274","Very Risk Averse"
"96","Male",7,270000,"No","Yes","Yes","No",0,1500000,1500000,0,3000000,0,0,50,50,"$190,150 - $413,349","Risk Neutral"
"97","Male",7,270000,"No","Yes","Yes","No",0,1500000,1500000,0,3000000,0,0,50,50,"$190,150 - $413,349","Risk Neutral"
"98","Male",7,270000,"No","Yes","Yes","No",0,1500000,1500000,0,3000000,0,0,50,50,"$190,150 - $413,349","Risk Neutral"
"99","Male",7,270000,"No","Yes","Yes","No",0,1500000,1500000,0,3000000,0,0,50,50,"$190,150 - $413,349","Risk Neutral"
"100","Male",7,270000,"No","Yes","Yes","No",0,1500000,1500000,0,3000000,0,0,50,50,"$190,150 - $413,349","Risk Neutral"
"101","Male",7,0,"No","Yes","Yes","No",0,1100000,4000,0,1104000,0,0,0.36231884057971,99.6376811594203,"$0 - $9,274","Risk Neutral"
"102","Male",7,0,"No","Yes","Yes","No",0,4500000,4000,0,4504000,0,0,0.088809946714032,99.911190053286,"$0 - $9,274","Risk Neutral"
"103","Male",7,0,"No","Yes","Yes","No",0,400000,4000,0,404000,0,0,0.99009900990099,99.009900990099,"$0 - $9,274","Risk Neutral"
"104","Male",7,0,"No","Yes","Yes","No",0,466000,4000,0,470000,0,0,0.851063829787234,99.1489361702128,"$0 - $9,274","Risk Neutral"
"105","Male",7,0,"No","Yes","Yes","No",0,340000,4000,0,344000,0,0,1.16279069767442,98.8372093023256,"$0 - $9,274","Risk Neutral"
"106","Female",7,111000,"No","No","Yes","No",0,0,120000,0,120000,0,0,100,0,"$91,150 - $190,149","Risk Neutral"
"107","Female",7,110000,"No","No","Yes","No",0,0,120000,0,120000,0,0,100,0,"$91,150 - $190,149","Risk Neutral"
"108","Female",7,110000,"No","No","Yes","No",0,0,120000,0,120000,0,0,100,0,"$91,150 - $190,149","Risk Neutral"
"109","Female",7,111000,"No","No","Yes","No",0,0,120000,0,120000,0,0,100,0,"$91,150 - $190,149","Risk Neutral"
"110","Female",7,111000,"No","No","Yes","No",0,0,120000,0,120000,0,0,100,0,"$91,150 - $190,149","Risk Neutral"
"111","Female",8,461000,"No","Yes","Yes","No",0,86000,666000,0,752000,0,0,88.563829787234,11.436170212766,"$415,050 or More","Somewhat Risk Tolerant"
"112","Female",8,460000,"No","Yes","Yes","No",0,86000,666000,0,752000,0,0,88.563829787234,11.436170212766,"$415,050 or More","Somewhat Risk Tolerant"
"113","Female",8,461000,"No","Yes","Yes","No",0,86000,666000,0,752000,0,0,88.563829787234,11.436170212766,"$415,050 or More","Somewhat Risk Tolerant"
"114","Female",8,461000,"No","Yes","Yes","No",0,86000,666000,0,752000,0,0,88.563829787234,11.436170212766,"$415,050 or More","Somewhat Risk Tolerant"
"115","Female",8,460000,"No","Yes","Yes","No",0,86000,666000,0,752000,0,0,88.563829787234,11.436170212766,"$415,050 or More","Somewhat Risk Tolerant"
"116","Male",4,9000,"No","Yes","No","No",0,5000,0,0,5000,0,0,0,100,"$0 - $9,274","Somewhat Risk Averse"
"117","Male",4,9000,"No","Yes","No","No",0,5000,0,0,5000,0,0,0,100,"$0 - $9,274","Somewhat Risk Averse"
"118","Male",4,9000,"No","Yes","No","No",0,5000,0,0,5000,0,0,0,100,"$0 - $9,274","Somewhat Risk Averse"
"119","Male",4,9000,"No","Yes","No","No",0,5000,0,0,5000,0,0,0,100,"$0 - $9,274","Somewhat Risk Averse"
"120","Male",4,9000,"No","Yes","No","No",0,5000,0,0,5000,0,0,0,100,"$0 - $9,274","Somewhat Risk Averse"
"121","Male",7,100000,"No","Yes","Yes","No",0,550000,1350000,0,1900000,0,0,71.0526315789474,28.9473684210526,"$91,150 - $190,149","Risk Neutral"
"122","Male",7,100000,"No","Yes","Yes","No",0,550000,900000,0,1450000,0,0,62.0689655172414,37.9310344827586,"$91,150 - $190,149","Risk Neutral"
"123","Male",7,100000,"No","Yes","Yes","No",0,550000,1350000,0,1900000,0,0,71.0526315789474,28.9473684210526,"$91,150 - $190,149","Risk Neutral"
"124","Male",7,100000,"No","Yes","Yes","No",0,550000,1350000,0,1900000,0,0,71.0526315789474,28.9473684210526,"$91,150 - $190,149","Risk Neutral"
"125","Male",7,100000,"No","Yes","Yes","No",0,550000,1220000,0,1770000,0,0,68.9265536723164,31.0734463276836,"$91,150 - $190,149","Risk Neutral"
"126","Male",5,666000,"Yes","Yes","Yes","No",3000000,125000000,225000,0,128225000,2.33963735620979,0,0.175472801715734,97.4848898420745,"$415,050 or More","Risk Neutral"
"127","Male",5,666000,"Yes","Yes","Yes","No",3800000,75000000,225000,0,79025000,4.80860487187599,0,0.284720025308447,94.9066751028156,"$415,050 or More","Risk Neutral"
"128","Male",5,540000,"Yes","Yes","Yes","No",3000000,300000000,226000,0,303226000,0.989361070620593,0,0.0745318673200847,98.9361070620593,"$415,050 or More","Risk Neutral"
"129","Male",5,540000,"Yes","Yes","Yes","No",2800000,300000000,225000,0,303025000,0.92401617028298,0,0.0742512993977395,99.0017325303193,"$415,050 or More","Risk Neutral"
"130","Male",5,667000,"Yes","Yes","Yes","No",3000000,300000000,225000,0,303225000,0.98936433341578,0,0.0742023250061835,98.936433341578,"$415,050 or More","Risk Neutral"
"131","Female",2,124000,"No","No","Yes","No",0,0,200000,0,200000,0,0,100,0,"$91,150 - $190,149","Very Risk Averse"
"132","Female",2,126000,"No","No","Yes","No",0,0,200000,0,200000,0,0,100,0,"$91,150 - $190,149","Very Risk Averse"
"133","Female",2,130000,"No","No","Yes","No",0,0,200000,0,200000,0,0,100,0,"$91,150 - $190,149","Very Risk Averse"
"134","Female",2,123000,"No","No","Yes","No",0,0,200000,0,200000,0,0,100,0,"$91,150 - $190,149","Very Risk Averse"
"135","Female",2,123000,"No","No","Yes","No",0,0,200000,0,200000,0,0,100,0,"$91,150 - $190,149","Very Risk Averse"
"136","Male",10,98000,"No","Yes","Yes","No",0,750000,14800000,0,15550000,0,0,95.1768488745981,4.82315112540193,"$91,150 - $190,149","Very Risk Tolerant"
"137","Male",10,99000,"No","Yes","Yes","No",0,40000000,5490000,0,45490000,0,0,12.068586502528,87.931413497472,"$91,150 - $190,149","Very Risk Tolerant"
"138","Male",10,82000,"No","Yes","Yes","No",0,10200000,1590000,0,11790000,0,0,13.4860050890585,86.5139949109415,"$37,650 - $91,149","Very Risk Tolerant"
"139","Male",10,80000,"No","Yes","Yes","No",0,7500000,3620000,0,11120000,0,0,32.5539568345324,67.4460431654676,"$37,650 - $91,149","Very Risk Tolerant"
"140","Male",10,66000,"No","Yes","Yes","No",0,7500000,490000,0,7990000,0,0,6.13266583229036,93.8673341677096,"$37,650 - $91,149","Very Risk Tolerant"
"141","Male",4,0,"No","No","Yes","No",0,0,432000,0,432000,0,0,100,0,"$0 - $9,274","Somewhat Risk Averse"
"142","Male",4,0,"No","No","Yes","No",0,0,432000,0,432000,0,0,100,0,"$0 - $9,274","Somewhat Risk Averse"
"143","Male",4,0,"No","No","Yes","No",0,0,432000,0,432000,0,0,100,0,"$0 - $9,274","Somewhat Risk Averse"
"144","Male",4,0,"No","No","Yes","No",0,0,432000,0,432000,0,0,100,0,"$0 - $9,274","Somewhat Risk Averse"
"145","Male",4,0,"No","No","Yes","No",0,0,432000,0,432000,0,0,100,0,"$0 - $9,274","Somewhat Risk Averse"
"146","Male",10,330000,"No","Yes","No","No",0,4000000,0,0,4000000,0,0,0,100,"$190,150 - $413,349","Very Risk Tolerant"
"147","Male",10,330000,"No","Yes","No","No",0,4000000,0,0,4000000,0,0,0,100,"$190,150 - $413,349","Very Risk Tolerant"
"148","Male",10,330000,"No","Yes","No","No",0,4000000,0,0,4000000,0,0,0,100,"$190,150 - $413,349","Very Risk Tolerant"
"149","Male",10,330000,"No","Yes","No","No",0,4000000,0,0,4000000,0,0,0,100,"$190,150 - $413,349","Very Risk Tolerant"
"150","Male",10,330000,"No","Yes","No","No",0,4000000,0,0,4000000,0,0,0,100,"$190,150 - $413,349","Very Risk Tolerant"
"151","Male",1,208000,"No","No","Yes","No",0,0,528000,0,528000,0,0,100,0,"$190,150 - $413,349","Very Risk Averse"
"152","Male",1,200000,"No","No","Yes","No",0,0,505000,0,505000,0,0,100,0,"$190,150 - $413,349","Very Risk Averse"
"153","Male",1,160000,"No","No","Yes","No",0,0,500000,0,500000,0,0,100,0,"$91,150 - $190,149","Very Risk Averse"
"154","Male",1,155000,"No","No","Yes","No",0,0,522000,0,522000,0,0,100,0,"$91,150 - $190,149","Very Risk Averse"
"155","Male",1,183000,"No","No","Yes","No",0,0,501000,0,501000,0,0,100,0,"$91,150 - $190,149","Very Risk Averse"
"156","Male",2,0,"No","No","Yes","No",0,0,1400000,0,1400000,0,0,100,0,"$0 - $9,274","Very Risk Averse"
"157","Male",2,0,"No","No","Yes","No",0,0,1400000,0,1400000,0,0,100,0,"$0 - $9,274","Very Risk Averse"
"158","Male",2,0,"No","No","Yes","No",0,0,1400000,0,1400000,0,0,100,0,"$0 - $9,274","Very Risk Averse"
"159","Male",2,0,"No","No","Yes","No",0,0,932000,0,932000,0,0,100,0,"$0 - $9,274","Very Risk Averse"
"160","Male",2,0,"No","No","Yes","No",0,0,762000,0,762000,0,0,100,0,"$0 - $9,274","Very Risk Averse"
"161","Female",1,113000,"No","Yes","Yes","No",0,100000,2300000,0,2400000,0,0,95.8333333333333,4.16666666666667,"$91,150 - $190,149","Very Risk Averse"
"162","Female",1,121000,"No","Yes","Yes","No",0,100000,2300000,0,2400000,0,0,95.8333333333333,4.16666666666667,"$91,150 - $190,149","Very Risk Averse"
"163","Female",1,110000,"No","Yes","Yes","No",0,100000,2300000,0,2400000,0,0,95.8333333333333,4.16666666666667,"$91,150 - $190,149","Very Risk Averse"
"164","Female",1,117000,"No","Yes","Yes","No",0,100000,2300000,0,2400000,0,0,95.8333333333333,4.16666666666667,"$91,150 - $190,149","Very Risk Averse"
"165","Female",1,121000,"No","Yes","Yes","No",0,100000,2300000,0,2400000,0,0,95.8333333333333,4.16666666666667,"$91,150 - $190,149","Very Risk Averse"
"166","Female",6,250000,"No","Yes","No","No",0,2000,0,0,2000,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"167","Female",6,250000,"No","Yes","No","No",0,2000,0,0,2000,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"168","Female",6,250000,"No","Yes","No","No",0,2000,0,0,2000,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"169","Female",6,250000,"No","Yes","No","No",0,2000,0,0,2000,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"170","Female",6,250000,"No","Yes","No","No",0,2000,0,0,2000,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"171","Male",8,2250000,"No","No","Yes","No",0,0,27500000,0,27500000,0,0,100,0,"$415,050 or More","Somewhat Risk Tolerant"
"172","Male",8,2250000,"No","No","Yes","No",0,0,27500000,0,27500000,0,0,100,0,"$415,050 or More","Somewhat Risk Tolerant"
"173","Male",8,2250000,"No","No","Yes","No",0,0,27500000,0,27500000,0,0,100,0,"$415,050 or More","Somewhat Risk Tolerant"
"174","Male",8,2250000,"No","No","Yes","No",0,0,25000000,0,25000000,0,0,100,0,"$415,050 or More","Somewhat Risk Tolerant"
"175","Male",8,2250000,"No","No","Yes","No",0,0,27500000,0,27500000,0,0,100,0,"$415,050 or More","Somewhat Risk Tolerant"
"176","Male",3,0,"No","Yes","No","No",0,7500,0,0,7500,0,0,0,100,"$0 - $9,274","Somewhat Risk Averse"
"177","Male",3,0,"No","Yes","No","No",0,7500,0,0,7500,0,0,0,100,"$0 - $9,274","Somewhat Risk Averse"
"178","Male",3,0,"No","Yes","No","No",0,7500,0,0,7500,0,0,0,100,"$0 - $9,274","Somewhat Risk Averse"
"179","Male",3,0,"No","Yes","No","No",0,7500,0,0,7500,0,0,0,100,"$0 - $9,274","Somewhat Risk Averse"
"180","Male",3,0,"No","Yes","No","No",0,7500,0,0,7500,0,0,0,100,"$0 - $9,274","Somewhat Risk Averse"
"181","Male",5,235000,"No","Yes","No","No",0,600,0,0,600,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"182","Male",5,235000,"No","Yes","No","No",0,600,0,0,600,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"183","Male",5,235000,"No","Yes","No","No",0,600,0,0,600,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"184","Male",5,235000,"No","Yes","No","No",0,600,0,0,600,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"185","Male",5,235000,"No","Yes","No","No",0,600,0,0,600,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"186","Female",6,0,"No","Yes","No","No",0,1570000,0,0,1570000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"187","Female",6,0,"No","Yes","No","No",0,1600000,0,0,1600000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"188","Female",6,0,"No","Yes","No","No",0,1600000,0,0,1600000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"189","Female",6,0,"No","Yes","No","No",0,1560000,0,0,1560000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"190","Female",6,0,"No","Yes","No","No",0,1600000,0,0,1600000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"191","Male",7,3300000,"No","Yes","Yes","No",0,11200000,3400000,0,14600000,0,0,23.2876712328767,76.7123287671233,"$415,050 or More","Risk Neutral"
"192","Male",7,3300000,"No","Yes","Yes","No",0,11200000,3400000,0,14600000,0,0,23.2876712328767,76.7123287671233,"$415,050 or More","Risk Neutral"
"193","Male",7,3300000,"No","Yes","Yes","No",0,11200000,3400000,0,14600000,0,0,23.2876712328767,76.7123287671233,"$415,050 or More","Risk Neutral"
"194","Male",7,3300000,"No","Yes","Yes","No",0,11200000,3400000,0,14600000,0,0,23.2876712328767,76.7123287671233,"$415,050 or More","Risk Neutral"
